"","x"
"414","ENSG00000043039"
"415","ENSG00000167653"
"416","ENSG00000185634"
"417","ENSG00000111404"
"418","ENSG00000287427"
"419","ENSG00000134548"
"420","ENSG00000146013"
"421","ENSG00000179915"
"422","ENSG00000189056"
"423","ENSG00000145808"
"424","ENSG00000185739"
"425","ENSG00000170290"
"426","ENSG00000181072"
"427","ENSG00000160808"
"428","ENSG00000157765"
"429","ENSG00000120251"
"430","ENSG00000131095"
"431","ENSG00000163827"
"432","ENSG00000066405"
"433","ENSG00000168329"
"434","ENSG00000275896"
"435","ENSG00000188517"
"436","ENSG00000075073"
"437","ENSG00000075043"
"438","ENSG00000147571"
"439","ENSG00000260034"
"440","ENSG00000167281"
"441","ENSG00000181409"
"442","ENSG00000196188"
"443","ENSG00000124205"
"444","ENSG00000171094"
"445","ENSG00000148346"
"446","ENSG00000135447"
"447","ENSG00000065361"
"448","ENSG00000156687"
"449","ENSG00000181092"
"450","ENSG00000225101"
"451","ENSG00000130598"
"452","ENSG00000092009"
"453","ENSG00000171246"
"454","ENSG00000143318"
"455","ENSG00000164690"
"456","ENSG00000163873"
"457","ENSG00000005102"
"458","ENSG00000089199"
"459","ENSG00000148935"
"460","ENSG00000128564"
"461","ENSG00000180209"
"462","ENSG00000141433"
"463","ENSG00000136943"
"464","ENSG00000175785"
"465","ENSG00000170891"
"466","ENSG00000151655"
"467","ENSG00000163092"
"468","ENSG00000177791"
"469","ENSG00000104435"
"470","ENSG00000170807"
"471","ENSG00000021300"
"472","ENSG00000129354"
"473","ENSG00000143850"
"474","ENSG00000186847"
"475","ENSG00000101470"
"476","ENSG00000164120"
"477","ENSG00000125999"
"478","ENSG00000215182"
"479","ENSG00000197253"
"480","ENSG00000102837"
"481","ENSG00000197893"
"482","ENSG00000000005"
"483","ENSG00000198910"
"484","ENSG00000180730"
"485","ENSG00000169436"
"486","ENSG00000113494"
"487","ENSG00000174460"
"488","ENSG00000100448"
"489","ENSG00000106541"
"490","ENSG00000162896"
"491","ENSG00000166863"
"492","ENSG00000123560"
"493","ENSG00000172236"
"494","ENSG00000077522"
"495","ENSG00000132470"
"496","ENSG00000196296"
"497","ENSG00000211673"
"498","ENSG00000164879"
"499","ENSG00000182333"
"500","ENSG00000147256"
"501","ENSG00000046653"
"502","ENSG00000147588"
"503","ENSG00000184956"
"504","ENSG00000163751"
"505","ENSG00000168878"
"506","ENSG00000082175"
"507","ENSG00000116183"
"508","ENSG00000100146"
"509","ENSG00000173991"
"510","ENSG00000114854"
"511","ENSG00000132329"
"512","ENSG00000186191"
"513","ENSG00000012171"
"514","ENSG00000077279"
"515","ENSG00000105048"
"516","ENSG00000158887"
"517","ENSG00000172179"
"518","ENSG00000105855"
"519","ENSG00000168530"
"520","ENSG00000071991"
"521","ENSG00000159173"
"522","ENSG00000183091"
"523","ENSG00000155657"
"524","ENSG00000125414"
"525","ENSG00000196091"
"526","ENSG00000105664"
"527","ENSG00000160307"
"528","ENSG00000111245"
"529","ENSG00000104879"
"530","ENSG00000198125"
"531","ENSG00000133048"
"532","ENSG00000260802"
"533","ENSG00000143632"
"534","ENSG00000113296"
"535","ENSG00000096088"
"536","ENSG00000092054"
