"","x"
"490","PIGR"
"491","TAC3"
"492","PLP1"
"493","TPSAB1"
"494","ACTN2"
"495","ITGB4"
"496","ATP2A1"
"497","ENSG00000211673"
"498","CA3"
"499","LIPF"
"500","ARHGAP36"
"501","GPM6B"
"502","PMP2"
"503","MUC6"
"504","CPA3"
"505","SFTPB"
"506","PGR"
"507","PAPPA2"
"508","SOX10"
"509","TCAP"
"510","TNNC1"
"511","RAMP1"
"512","BPIFB4"
"513","SEMA3B"
"514","DCX"
"515","TNNT1"
"516","MPZ"
"517","PRL"
"518","ITGB8"
"519","MYL1"
"520","CDH19"
"521","TNNI1"
"522","NEB"
"523","TTN"
"524","MYH2"
"525","MYBPC1"
"526","COMP"
"527","S100B"
"528","MYL2"
"529","CKM"
"530","MB"
"531","CHI3L1"
"532","SERTM2"
"533","ACTA1"
"534","THBS4"
"535","PGC"
"536","MYH7"
